"North America","Puerto Rico","M","C","Athletics","0","0","0","223158"
"Europe","Lithuania","M","D","Athletics","0","0","0","223159"
"Europe","Azerbaijan","M","B","Rowing","0","0","0","223160"
"Asia","Kyrgyzstan","M","A","Swimming","0","0","0","223161"
"Europe","Armenia","M","B","Wrestling","0","0","1","223162"
"Europe","Latvia","F","B","Cycling - BMX","0","0","0","223163"
"Asia","Russian Federation","M","B","Athletics","0","0","0","223164"
"Europe","Serbia","M","B","Canoe Sprint","0","0","0","223165"
"Europe","Serbia","M","C","Water Polo","0","0","1","223166"
"Europe","Bulgaria","M","C","Volleyball","0","0","0","223167"
"Europe","Belarus","M","B","Football","0","0","0","223168"
"South America","Venezuela","M","C","Swimming","0","0","0","223169"
"North America","Trinidad and Tobago","F","D","Athletics","0","0","0","223170"
"North America","St Vincent and the G","F","C","Athletics","0","0","0","223171"
"Asia","Kazakhstan","M","B","Fencing","0","0","0","223172"
"Asia","Kazakhstan","M","D","Canoe Sprint","0","0","0","223173"
"Europe","Romania","M","B","Wrestling","0","0","0","223174"
"North America","El Salvador","M","B","Swimming","0","0","0","223175"
"Asia","Bahrain","F","A","Swimming","0","0","0","223176"
"Europe","Sweden","F","D","Equestrian","0","0","0","223177"
"Europe","Sweden","F","D","Equestrian","0","1","0","223178"
"Asia","Saudi Arabia","M","C","Athletics","0","0","0","223179"
"Asia","Kuwait","M","C","Table Tennis","0","0","0","223180"
"Africa","Cameroon","F","C","Wrestling","0","0","0","223181"
"Asia","Bahrain","M","B","Athletics","0","0","0","223182"
"Africa","Madagascar","M","C","Athletics","0","0","0","223183"
"Africa","Morocco","M","D","Fencing","0","0","0","223184"
"Asia","Pakistan","M","C","Athletics","0","0","0","223185"
"Africa","Djibouti","F","A","Athletics","0","0","0","223186"
"Asia","Bahrain","M","A","Swimming","0","0","0","223187"
"Europe","Croatia","M","C","Handball","0","0","1","223188"
"Asia","Kazakhstan","M","C","Fencing","0","0","0","223189"
"Asia","Russian Federation","M","D","Shooting","0","0","0","223190"
"Europe","Azerbaijan","M","C","Wrestling","0","0","0","223191"
"Europe","Azerbaijan","M","B","Wrestling","0","0","0","223192"
"Europe","Estonia","F","C","Swimming","0","0","0","223193"
"Asia","Saudi Arabia","M","D","Athletics","0","0","0","223194"
"Asia","Philippines","F","C","Swimming","0","0","0","223195"
"Europe","Italy","F","D","Badminton","0","0","0","223196"
"Europe","Great Britain","F","B","Basketball","0","0","0","223197"
"Europe","Great Britain","F","D","Shooting","0","0","0","223198"
"Europe","Great Britain","M","B","Football","0","0","0","223199"
"Europe","Great Britain","F","B","Swimming","0","0","0","223200"
"North America","Trinidad and Tobago","M","B","Athletics","0","0","1","223201"
"North America","Barbados","M","C","Swimming","0","0","0","223202"
"South America","Ecuador","M","C","Athletics","0","0","0","223203"
"Europe","Spain","M","C","Tennis","0","0","0","223204"
"Asia","United Arab Emirates","M","C","Shooting","0","0","0","223205"
"Asia","United Arab Emirates","M","D","Shooting","0","0","0","223206"
"North America","Cuba","F","B","Athletics","0","0","0","223207"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223208"
"Europe","Portugal","M","B","Swimming","0","0","0","223209"
"Europe","Portugal","M","B","Athletics","0","0","0","223210"
"South America","Brazil","M","C","Swimming","0","0","0","223211"
"Africa","Angola","F","C","Handball","0","0","0","223212"
"Europe","Sweden","F","C","Football","0","0","0","223213"
"Asia","Syria","F","B","Athletics","0","0","0","223214"
"Europe","Spain","F","C","Handball","0","0","1","223215"
"Africa","Tunisia","M","B","Handball","0","0","0","223216"
"Oceania","Australia","M","C","Athletics","0","0","0","223217"
